INDEX,NAME,SHIRTNAME,JAPANESE PLAYER NAME,SPACING,COMMENTARY,AGE,NATIONALITY,FOOT,WEIGHT,HEIGHT,FORM,WEAK FOOT ACCURACY,WEAK FOOT FREQUENCY,INJURY TOLERANCE,GROWTH TYPE,MARKET PRICE,GK 0,SW 1,CB 2,LB 3,RB 4,DMF 5,CMF 6,LMF 7,RMF 8,AMF 9,LWF 10,RWF 11,SS 12,CF 13,POSITION,ATTACK,DEFENCE,HEADER ACCURACY,DRIBBLE ACCURACY,SHORT PASS ACCURACY,SHORT PASS SPEED,LONG PASS ACCURACY,LONG PASS SPEED,SHOT ACCURACY,PLACE KICKING,SWERVE,BALL CONTROLL,GOAL KEEPING SKILLS,RESPONSE,EXPLOSIVE POWER,DRIBBLE SPEED,TOP SPEED,BODY BALANCE,STAMINA,KICKING POWER,JUMP,TENACITY,TEAMWORK,S01 1-TOUCH PLAY,S02 OUTSIDE CURVE,S03 LONG THROW,S04 SUPER-SUB,S05 SPEED MERCHANT,S06 LONG RANGE DRIVE,S07 SHOULDER FEINT SKILLS,S08 TURNING SKILLS,S09 ROULETTE SKILLS,S10 FLIP FLAP SKILLS,S11 FLICKING SKILLS,S12 SCISSORS SKILLS,S13 STEP ON SKILLS,S14 DEFT TOUCH SKILLS,S15 KNUCKLE SHOT,S16 JUMPING VOLLEY,S17 SCISSOR KICK,S18 HEEL FLICK,S19 WEIGHTED PASS,S20 DOUBLE TOUCH,S21 RUN AROUND,S22 SOMBRERO,S23 180 DRAG,S24 LUNGING TACKLE,S25 DIVING HEADER,S26 GK LONG THROW,P01 CLASSIC NO.10,P02 ANCHOR MAN,P03 TRICKSTER,P04 DARTING RUN,P05 MAZING RUN,P06 PINPOINT PASS,P07 EARLY CROSS,P08 BOX TO BOX,P09 INCISIVE RUN,P10 LONG RANGER,P11 ENFORCER,P12 GOAL POACHER,P13 DUMMY RUNNER,P14 FREE ROAMING,P15 TALISMAN,P16 FOX IN THE BOX,P17 OFFENSIVE SIDEBACK,P18 TRACK BACK,ATTACK AWARENESS,DEFENCE AWARENESS,SKIN COLOR,SKIN TEXTURE,FACE MODE,LINKED FACE,FACE SLOT,LINKED HAIR,HAIR SLOT,BOOTS,UNTUCKED SHIRT,TIGHT KIT,GLOVES,DRIBBLE STYLE,FREE KICK STYLE,PENALTY KICK STYLE,DROP KICK STYLE,GOAL CELEBRATION STYLE #1,GOAL CELEBRATION STYLE #2,CLUB TEAM,NUMBER,NATIONAL TEAM
830,Quim,QUIM,キム,2,2016,36,Portugal,R,80,182,6,4,4,B,110,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,30,83,55,56,60,57,66,69,45,45,45,58,80,87,80,61,75,79,62,83,82,80,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,Special,1,910,1,4985,23,0,0,0,1,1,1,3,0,0,布拉加,1,
847,Sim?o,SIMAO,シモン,2,2256,32,Portugal,R,70,174,6,6,6,C,40,5,0,0,0,0,0,0,0,1,1,1,1,1,1,0,LMF,83,55,67,86,82,77,84,83,80,85,86,86,50,74,81,84,77,74,76,84,74,78,80,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,2,1,Special,1,915,1,4990,55,1,0,0,4,10,2,1,0,0,西班牙人,20,
852,Casillas,IKER CASILLAS,カシージャス,2,428,31,Spain,L,84,185,7,4,4,A,159,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,30,98,55,56,58,59,59,64,45,45,45,47,95,97,79,57,75,81,60,75,85,91,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,Special,1,438,1,4513,55,1,0,0,1,1,1,1,0,0,皇家马德里,1,西班牙
856,Manuel Pablo,M. PABLO,マヌエル パブロ,2,1560,36,Spain,R,80,176,5,5,5,B,118,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,RB,67,70,70,73,73,71,73,70,58,55,62,72,50,77,75,74,75,75,78,74,74,82,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,Default,0,131,0,4506,25,0,0,0,1,1,1,1,0,0,拉科鲁尼亚,2,
865,Carles Puyol,PUYOL,プジョル,2,2011,34,Spain,R,80,178,7,5,4,B,31,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,CB,58,94,79,74,73,74,73,72,63,61,61,75,50,90,81,75,80,86,83,78,90,95,86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,Special,1,454,1,4529,37,1,0,0,1,1,1,1,0,72,巴塞罗那,5,
866,Xavi,X A V I,シャビ,2,2526,32,Spain,R,68,170,8,5,4,A,75,7,0,0,0,0,0,1,1,1,1,1,0,0,0,0,CMF,86,68,70,90,98,95,90,84,73,79,82,95,50,78,83,76,74,74,90,78,73,80,98,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1,1,Special,1,462,1,4537,55,1,0,0,3,10,1,1,77,10,巴塞罗那,6,西班牙
884,Anelka,ANELKA,アネルカ,2,0,33,France,R,77,185,5,7,6,A,120,6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,SS,88,32,74,86,80,75,79,78,84,72,70,88,50,83,78,77,82,80,77,84,84,67,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,5,1,Special,1,485,1,4560,21,1,0,1,1,1,1,1,75,0,尤文图斯,18,
892,Ludovic Giuly,GIULY,ジュリー,2,0,36,France,R,62,164,4,6,6,B,48,5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,SS,83,39,66,80,80,77,81,77,80,68,72,78,50,83,82,83,76,66,73,74,72,85,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,1,Special,1,507,1,4582,23,0,0,1,1,1,1,1,28,0,洛里昂,19,
925,C. Seedorf,SEEDORF,セードルフ,2,2207,36,Netherlands,R,80,177,4,6,5,A,4,7,0,0,0,0,0,1,1,1,1,1,0,0,1,0,AMF,80,64,72,84,87,84,84,83,70,74,80,87,50,74,73,76,73,83,78,87,74,75,85,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,2,5,1,Special,1,868,1,4943,34,0,0,1,1,11,1,1,0,0,博塔弗戈,10,
935,Wilfred Bouma,BOUMA,バウマ,2,337,34,Netherlands,L,81,178,3,4,4,C,52,4,0,0,1,1,0,1,0,1,0,0,1,0,0,0,CB,66,77,72,78,80,78,81,78,71,77,82,78,50,73,68,70,74,79,75,82,73,76,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,Special,1,881,1,4956,19,0,0,0,1,1,1,1,0,0,埃因霍温,3,
970,Totti,TOTTI,トッティ,2,2377,36,Italy,R,82,180,7,6,6,B,4,7,0,0,0,0,0,0,1,0,0,1,1,1,1,1,SS,92,31,77,91,91,82,93,79,90,88,85,91,50,76,75,75,75,82,76,85,73,85,82,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,Special,1,682,1,4757,18,1,0,1,3,8,1,1,67,38,罗马,10,
977,Ambrosini,AMBROSINI,アンブロジーニ,2,112,35,Italy,R,72,182,6,7,6,B,84,6,0,0,1,0,0,1,1,0,0,0,0,0,0,1,DMF,65,79,87,74,76,80,75,77,70,64,63,75,50,82,74,74,74,84,82,77,85,82,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,1,1,Special,1,694,1,4769,58,1,0,0,1,1,1,1,0,0,AC米兰,23,
983,Buffon,BUFFON,ブッフォン,2,372,34,Italy,R,83,191,7,4,4,B,227,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,30,98,55,62,62,63,63,63,45,45,45,60,98,96,75,57,73,87,62,78,86,82,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,Special,1,685,1,4760,39,1,0,0,1,1,1,1,0,0,尤文图斯,1,意大利
998,Ji?í Jaro?ík,JAROSIK,ヤロシク,2,1171,34,Czech Republic,R,92,196,6,6,5,A,22,2,0,0,1,0,0,1,1,1,1,1,0,0,0,1,CB,68,76,78,75,73,74,78,79,67,71,70,71,50,78,69,74,74,86,79,85,75,74,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,Default,0,131,0,4520,25,0,0,0,1,8,1,1,0,0,布拉格斯巴达,39,
