TEAMNAME,SHORTNAME,STADIUM,CHANTS SLOT,FLAG SLOT,PL.NAME 1,NR 1,PL.NAME 2,NR 2,PL.NAME 3,NR 3,PL.NAME 4,NR 4,PL.NAME 5,NR 5,PL.NAME 6,NR 6,PL.NAME 7,NR 7,PL.NAME 8,NR 8,PL.NAME 9,NR 9,PL.NAME 10,NR 10,PL.NAME 11,NR 11,PL.NAME 12,NR 12,PL.NAME 13,NR 13,PL.NAME 14,NR 14,PL.NAME 15,NR 15,PL.NAME 16,NR 16,PL.NAME 17,NR 17,PL.NAME 18,NR 18,PL.NAME 19,NR 19,PL.NAME 20,NR 20,PL.NAME 21,NR 21,PL.NAME 22,NR 22,PL.NAME 23,NR 23,PL.NAME 24,NR 24,PL.NAME 25,NR 25,PL.NAME 26,NR 26,PL.NAME 27,NR 27,PL.NAME 28,NR 28,PL.NAME 29,NR 29,PL.NAME 30,NR 30,PL.NAME 31,NR 31,PL.NAME 32,NR 32,LONG FK,SHORT FK,FK2,CORNER L,CORNER R,PENALTY,CAPTAIN,CB OVERLAP,GO UP 1,GO UP 2,GO UP 3,F0 PL1 X/Y,F0 PL2 X/Y,F0 PL3 X/Y,F0 PL4 X/Y,F0 PL5 X/Y,F0 PL6 X/Y,F0 PL7 X/Y,F0 PL8 X/Y,F0 PL9 X/Y,F0 PL10 X/Y,F0 PL11 X/Y,F0 ROLE PL1,F0 ROLE PL2,F0 ROLE PL3,F0 ROLE PL4,F0 ROLE PL5,F0 ROLE PL6,F0 ROLE PL7,F0 ROLE PL8,F0 ROLE PL9,F0 ROLE PL10,F0 ROLE PL11,F0 ATTACK PL1,F0 ATTACK PL2,F0 ATTACK PL3,F0 ATTACK PL4,F0 ATTACK PL5,F0 ATTACK PL6,F0 ATTACK PL7,F0 ATTACK PL8,F0 ATTACK PL9,F0 ATTACK PL10,F0 ATTACK PL11,F0 DEFENCE PL1,F0 DEFENCE PL2,F0 DEFENCE PL3,F0 DEFENCE PL4,F0 DEFENCE PL5,F0 DEFENCE PL6,F0 DEFENCE PL7,F0 DEFENCE PL8,F0 DEFENCE PL9,F0 DEFENCE PL10,F0 DEFENCE PL11,FA PL1 X/Y,FA PL2 X/Y,FA PL3 X/Y,FA PL4 X/Y,FA PL5 X/Y,FA PL6 X/Y,FA PL7 X/Y,FA PL8 X/Y,FA PL9 X/Y,FA PL10 X/Y,FA PL11 X/Y,FA ROLE PL1,FA ROLE PL2,FA ROLE PL3,FA ROLE PL4,FA ROLE PL5,FA ROLE PL6,FA ROLE PL7,FA ROLE PL8,FA ROLE PL9,FA ROLE PL10,FA ROLE PL11,FA ATTACK PL1,FA ATTACK PL2,FA ATTACK PL3,FA ATTACK PL4,FA ATTACK PL5,FA ATTACK PL6,FA ATTACK PL7,FA ATTACK PL8,FA ATTACK PL9,FA ATTACK PL10,FA ATTACK PL11,FA DEFENCE PL1,FA DEFENCE PL2,FA DEFENCE PL3,FA DEFENCE PL4,FA DEFENCE PL5,FA DEFENCE PL6,FA DEFENCE PL7,FA DEFENCE PL8,FA DEFENCE PL9,FA DEFENCE PL10,FA DEFENCE PL11,FB PL1 X/Y,FB PL2 X/Y,FB PL3 X/Y,FB PL4 X/Y,FB PL5 X/Y,FB PL6 X/Y,FB PL7 X/Y,FB PL8 X/Y,FB PL9 X/Y,FB PL10 X/Y,FB PL11 X/Y,FB ROLE PL1,FB ROLE PL2,FB ROLE PL3,FB ROLE PL4,FB ROLE PL5,FB ROLE PL6,FB ROLE PL7,FB ROLE PL8,FB ROLE PL9,FB ROLE PL10,FB ROLE PL11,FB ATTACK PL1,FB ATTACK PL2,FB ATTACK PL3,FB ATTACK PL4,FB ATTACK PL5,FB ATTACK PL6,FB ATTACK PL7,FB ATTACK PL8,FB ATTACK PL9,FB ATTACK PL10,FB ATTACK PL11,FB DEFENCE PL1,FB DEFENCE PL2,FB DEFENCE PL3,FB DEFENCE PL4,FB DEFENCE PL5,FB DEFENCE PL6,FB DEFENCE PL7,FB DEFENCE PL8,FB DEFENCE PL9,FB DEFENCE PL10,FB DEFENCE PL11,ORD 1,ORD 2,ORD 3,ORD 4,ORD 5,ORD 6,ORD 7,ORD 8,ORD 9,ORD 10,ORD 11,ORD 12,ORD 13,ORD 14,ORD 15,ORD 16,ORD 17,ORD 18,ORD 19,ORD 20,ORD 21,ORD 22,ORD 23,ORD 24,ORD 25,ORD 26,ORD 27,ORD 28,ORD 29,ORD 30,ORD 31,ORD 32,F0 AD CARD1,F0 AD CARD2,F0 AD CARD3,F0 AD CARD4,F0 AD CARD5,F0 AD CARD6,F0 AD CARD7,F0 AD CARD8,F0 AD CARD9,F0 AD CARD10,F0 AD CARD11,F0 TS PLAYER SUPP,F0 TS SUPP RANGE,F0 TS POS SWITCH,F0 TS ATT STYLE,F0 TS PRESSING,F0 TS DEF LINE,F0 TS COMPACTNESS,F0 TS DEF STRATEGY,FA AD CARD1,FA AD CARD2,FA AD CARD3,FA AD CARD4,FA AD CARD5,FA AD CARD6,FA AD CARD7,FA AD CARD8,FA AD CARD9,FA AD CARD10,FA AD CARD11,FA TS PLAYER SUPP,FA TS SUPP RANGE,FA TS POS SWITCH,FA TS ATT STYLE,FA TS PRESSING,FA TS DEF LINE,FA TS COMPACTNESS,FA TS DEF STRATEGY,FB AD CARD1,FB AD CARD2,FB AD CARD3,FB AD CARD4,FB AD CARD5,FB AD CARD6,FB AD CARD7,FB AD CARD8,FB AD CARD9,FB AD CARD10,FB AD CARD11,FB TS PLAYER SUPP,FB TS SUPP RANGE,FB TS POS SWITCH,FB TS ATT STYLE,FB TS PRESSING,FB TS DEF LINE,FB TS COMPACTNESS,FB TS DEF STRATEGY,TEAMNAME 1,TEAMNAME 2,TEAMNAME 3,TEAMNAME 4,TEAMNAME 5,TEAMNAME 6,TEAMNAME 7,TEAMNAME 8,TEAMNAME 9,TEAMNAME 10,TEAMNAME 11,TEAMNAME 12,TEAMNAME 13,TEAMNAME 14,TEAMNAME 15,TEAMNAME 16,TEAMNAME 17,TEAMNAME 18,TEAMNAME 19,TEAMNAME 20,TACTICAL ASSISTANCE 1,TACTICAL ASSISTANCE 2,TACTICAL ASSISTANCE 3,P.TACTICS 1,P.TACTICS 2,P.TACTICS 3
日本,JPN,52,16,68,KAWASHIMA,1,KURIHARA,16,INOHA,2,UCHIDA,6,NAGATOMO,5,HASEBE,17,HOSOGAI,13,OKAZAKI,9,KAGAWA,10,HONDA,4,MORIMOTO,22,Nishikawa,12,YAMAMOTO,26,KONNO,15,MAKINO,20,YOSHIDA,28,KOMANO,3,ENDO,7,NAKAMURA,14,MASUDA,33,FUJIMOTO,39,KIYOTAKE,40,MAEDA,18,,255,,255,,255,,255,,255,,255,,255,,255,,255,9,9,8,9,9,9,5,255,255,255,255,-,10x63,10x41,13x91,13x13,21x63,21x41,31x79,31x25,33x52,41x52,0,7,1,9,8,21,17,23,22,26,38,0,0,0,17,17,68,68,40,40,40,40,1,0,0,1,1,1,1,1,1,1,1,-,10x63,10x41,13x91,13x13,21x63,21x41,31x79,31x25,33x52,41x52,0,7,1,9,8,21,17,23,22,26,38,0,0,0,17,17,68,68,40,40,40,40,1,0,0,1,1,1,1,1,1,1,1,-,10x63,10x41,13x91,13x13,21x63,21x41,31x79,31x25,33x52,41x52,0,7,1,9,8,21,17,23,22,26,38,0,0,0,17,17,68,68,40,40,40,40,1,0,0,1,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,14,14,13,9,13,11,13,0,2,2,2,2,2,2,2,2,2,2,2,14,14,13,9,13,11,13,0,2,2,2,2,2,2,2,2,2,2,2,14,14,13,9,13,11,13,0,Japan,JAPON,JAPAN,GIAPPONE,JAPóN,日本,JAPAN,日本,JAPAN,JAPAN,JAP?O,JAPóN,ЯПОНИЯ,ΙΑΠΩΝΙΑ,JAPAN,JAPAN,JAP?O,JAPONYA,JAPAN,JAPAN,1,3,2,2,3,0
约旦,JOR,9,16,69,AMER SHAFI,1,MONIR,2,ADNAN,19,ATTIAH,13,BASEM,16,BAHAA,4,SHADI,15,AMER,7,RAED,11,ABDALLAH,14,HAYEL,10,LOAI,12,SALEH,22,BASHAR,8,HATEM AQEL,17,YASEEN,18,SULIMAN,3,AI-DMEIRI,5,MURJAN,6,HASSAN,21,ODAI,9,HIJAH,23,HAMZA,20,,255,,255,,255,,255,,255,,255,,255,,255,,255,7,7,4,7,7,7,7,255,255,255,255,-,9x62,9x42,12x89,11x13,23x60,20x44,29x85,32x11,37x32,42x56,0,7,1,9,8,14,10,23,22,33,38,0,0,0,17,16,16,0,80,48,17,16,1,1,1,1,1,1,0,1,1,1,2,-,9x62,9x42,12x89,11x13,23x60,20x44,29x85,32x11,37x32,42x56,0,7,1,9,8,14,10,23,22,33,38,0,0,0,17,16,16,0,80,48,17,16,1,1,1,1,1,1,0,1,1,1,2,-,9x62,9x42,12x89,11x13,23x60,20x44,29x85,32x11,37x32,42x56,0,7,1,9,8,14,10,23,22,33,38,0,0,0,17,16,16,0,80,48,17,16,1,1,1,1,1,1,0,1,1,1,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,8,7,7,7,7,6,8,0,2,2,2,2,2,2,2,2,2,2,2,8,7,7,7,7,6,8,0,2,2,2,2,2,2,2,2,2,2,2,8,7,7,7,7,6,8,0,Jordan,JORDANIE,JORDANIEN,GIORDANIA,JORDANIA,約旦,JORDAN,约旦,JORDAN,JORDAN,JORD?NIA,JORDANIA,ИОРДАНИЯ,ΙΟΡΔΑΝΙΑ,JORDANIEN,JORDANI?,JORD?NIA,üRDüN,JORDAN,JORDAN,1,3,2,1,4,0
科威特,KWT,9,16,70,N. AL KHALDI,22,AHMAD,5,NEDA,13,Y. AL TAHER,2,SHAHEEN,3,AL-EBRAHIM,11,NAYEF,14,FAHAD,7,WALIED ALI,15,B. AL MUTWA,17,SALAMA,20,HAMMEED,23,AL-RASHIDI,1,AL QAHTANI,6,HUSSAIN FADHEL,4,RASHED,21,MATOUG,19,HUMOUD,8,AL-ATEEQI,18,ABUDULAZIZ,10,ENAZI,16,AL MOUSSAWI,12,AL KANDARI,9,,255,,255,,255,,255,,255,,255,,255,,255,,255,9,9,8,9,9,9,0,255,255,255,255,-,10x63,10x39,12x90,12x13,25x63,20x41,32x91,34x16,33x45,40x59,0,7,1,9,8,14,10,23,22,26,38,0,0,16,16,16,24,0,20,20,66,17,1,0,2,0,0,1,0,2,2,1,1,-,10x63,10x39,12x90,12x13,25x63,20x41,32x91,34x16,33x45,40x59,0,7,1,9,8,14,10,23,22,26,38,0,0,16,16,16,24,0,20,20,66,17,1,0,2,0,0,1,0,2,2,1,1,-,10x63,10x39,12x90,12x13,25x63,20x41,32x91,34x16,33x45,40x59,0,7,1,9,8,14,10,23,22,26,38,0,0,16,16,16,24,0,20,20,66,17,1,0,2,0,0,1,0,2,2,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,13,8,13,5,8,9,8,1,2,2,2,2,2,2,2,2,2,2,2,13,8,13,5,8,9,8,1,2,2,2,2,2,2,2,2,2,2,2,13,8,13,5,8,9,8,1,Kuwait,KOWE?T,KUWAIT,KUWAIT,KUWAIT,科威特,KUWAIT,科威特,KUWAIT,KUWAIT,KUWAIT,KUWAIT,КУВЕЙТ,ΚΟΥΒΕΙΤ,KUWAIT,KOEWEIT,KUWAIT,KUVEYT,KUWAIT,KUWAIT,1,3,2,1,0,0
黎巴嫩,LBN,9,16,71,AL SAMAD,1,MOHAMAD,3,NAJJARIN,16,DAYOUB,5,ISMAIL,18,FAOUR,15,ANTAR,20,ATWI,10,ZREIK,11,MAATOUK,7,EL ALI,17,HAMOUD,21,HASSAN,23,KHAN,6,AL SAADI,2,JOUNAIDI,4,CHARARA,12,DAKIK,8,MATAR,19,MOGHRABI,13,CHAITO,14,GHADDAR,22,HAIDAR,9,,255,,255,,255,,255,,255,,255,,255,,255,,255,8,7,8,7,8,9,6,255,255,255,255,-,9x63,9x41,10x90,12x13,22x61,23x42,31x52,38x89,40x15,42x55,0,7,1,9,8,14,10,26,30,29,38,0,0,0,16,17,0,0,0,16,12,16,1,1,1,0,1,1,1,1,0,2,2,-,9x63,9x41,10x90,12x13,22x61,23x42,31x52,38x89,40x15,42x55,0,7,1,9,8,14,10,26,30,29,38,0,0,0,16,17,0,0,0,16,12,16,1,1,1,0,1,1,1,1,0,2,2,-,9x63,9x41,10x90,12x13,22x61,23x42,31x52,38x89,40x15,42x55,0,7,1,9,8,14,10,26,30,29,38,0,0,0,16,17,0,0,0,16,12,16,1,1,1,0,1,1,1,1,0,2,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,12,7,5,5,9,6,9,0,2,2,2,2,2,2,2,2,2,2,2,12,7,5,5,9,6,9,0,2,2,2,2,2,2,2,2,2,2,2,12,7,5,5,9,6,9,0,Lebanon,LIBAN,LIBANON,LIBANO,LíBANO,黎巴嫩,LEBANON,黎巴嫩,LEBANON,LEBANON,LíBANO,LíBANO,ЛИВАН,ΛΙΒΑΝΟΣ,LIBANON,LIBANON,LíBANO,LüBNAN,LEBANON,LEBANON,1,3,2,1,4,0
朝鲜,PRK,7,16,72,RI MYONG GUK,1,PAK NAM CHOL,14,J. SONG HYOK,23,RI KWANG CHON,5,RI KWANG HYOK,20,JON KWANG-IK,12,PAK SONG CHOL,22,J. IL GWAN,11,PAK NAM CHOL,4,JONG TAE SE,9,P. KWANG RYONG,10,KIM MYONG GIL,18,JU KWANG MIN,21,K. SONG GI,3,CHA JONG HYOK,2,AN YOUNG HAK,17,RI CHOL MYONG,8,J. KUK CHOL,16,YONGGI,6,KIM KUK-JIN,15,J. MYONG IL,13,CHOE KUM CHOL,19,P. SONG CHOL,7,,255,,255,,255,,255,,255,,255,,255,,255,,255,8,9,7,6,8,10,0,255,255,255,255,-,8x73,7x52,8x31,14x91,14x9,21x55,32x78,28x26,42x59,42x42,0,7,3,1,9,8,12,23,22,40,36,0,0,0,0,16,16,0,40,68,16,16,1,1,1,1,2,2,0,2,1,2,2,-,8x73,7x52,8x31,14x91,14x9,21x55,32x78,28x26,42x59,42x42,0,7,3,1,9,8,12,23,22,40,36,0,0,0,0,16,16,0,40,68,16,16,1,1,1,1,2,2,0,2,1,2,2,-,8x73,7x52,8x31,14x91,14x9,21x55,32x78,28x26,42x59,42x42,0,7,3,1,9,8,12,23,22,40,36,0,0,0,0,16,16,0,40,68,16,16,1,1,1,1,2,2,0,2,1,2,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,9,7,8,12,9,5,10,1,2,2,2,2,2,2,2,2,2,2,2,9,7,8,12,9,5,10,1,2,2,2,2,2,2,2,2,2,2,2,9,7,8,12,9,5,10,1,North Korea,CORéE DU NORD,NORDKOREA,COREA DEL NORD,COREA DEL NORTE,北韓,NORTH KOREA,朝鲜,NORTH KOREA,NORTH KOREA,COREIA DO NORTE,COREA DEL NORTE,СЕВЕРНАЯ КОРЕЯ,ΒΟΡΕΙΑ ΚΟΡΕΑ,NORDKOREA,NOORD-KOREA,COREIA DO NORTE,KUZEY KORE,NORTH KOREA,NORTH KOREA,1,3,2,1,4,0
阿曼,OMN,9,16,73,AL HABSI,1,A. SALAM,13,BALUSHI,5,AL-MUKHAINI,11,MUDHAFAR,17,MUBARAK,12,BASHIR,10,A. HADID,21,HADHRI,7,AL MUQBALI,9,AL HOSNI,20,AL RUSHAIDI,18,HUWAIDI,22,SALEH,6,AL JABRI,4,AL MASLAMI,3,MOHAMED,16,I. AL AJMI,15,DARWISH,23,LAWATI,14,AL FARSI,2,QASIM SAID,8,AL SAADI,19,,255,,255,,255,,255,,255,,255,,255,,255,,255,8,8,7,8,8,8,0,255,255,255,255,-,11x64,11x40,14x89,14x12,21x52,26x75,23x27,37x67,40x34,43x52,0,7,1,9,8,12,21,17,35,31,38,0,0,0,16,16,0,12,96,192,17,17,1,2,2,2,2,0,1,0,1,1,2,-,11x64,11x40,14x89,14x12,21x52,26x75,23x27,37x67,40x34,43x52,0,7,1,9,8,12,21,17,35,31,38,0,0,0,16,16,0,12,96,192,17,17,1,2,2,2,2,0,1,0,1,1,2,-,11x64,11x40,14x89,14x12,21x52,26x75,23x27,37x67,40x34,43x52,0,7,1,9,8,12,21,17,35,31,38,0,0,0,16,16,0,12,96,192,17,17,1,2,2,2,2,0,1,0,1,1,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,10,9,7,10,9,8,9,0,2,2,2,2,2,2,2,2,2,2,2,10,9,7,10,9,8,9,0,2,2,2,2,2,2,2,2,2,2,2,10,9,7,10,9,8,9,0,Oman,OMAN,OMAN,OMAN,OMáN,阿曼,OMAN,阿曼,OMAN,OMAN,OM?,OMáN,ОМАН,ΟΜΑΝ,OMAN,OMAN,OM?,UMMAN,OMAN,OMAN,1,3,2,1,3,0
卡塔尔,QAT,9,16,74,BURHAN,1,KASOLA,3,AL-GHANIM,14,MESAAD ALI,2,M. MUBARAK,6,QUAYE,4,RIZIK,7,KHALFAN IBRAHIM,10,TALAL BLOUSHI,15,YUSEF AHMED,20,SORIA,23,MUBARAK,21,MALICK,9,RAJAB,22,IBRAHIM MAJID,13,MARCONE AMARAL,5,KHALIFA,18,ALI,17,ALI SHEHAB,8,FABIO CESAR,11,EL-SAYED,19,RAZAK,16,MAGID HASSAN,12,,255,,255,,255,,255,,255,,255,,255,,255,,255,6,10,6,6,6,10,6,255,255,255,255,-,9x63,9x42,12x90,12x15,21x62,24x42,33x86,29x16,40x61,43x42,0,7,1,9,8,14,10,23,22,40,36,0,0,0,16,0,0,16,16,12,16,17,1,1,0,0,0,0,1,2,1,2,2,-,9x63,9x42,12x90,12x15,21x62,24x42,33x86,29x16,40x61,43x42,0,7,1,9,8,14,10,23,22,40,36,0,0,0,16,0,0,16,16,12,16,17,1,1,0,0,0,0,1,2,1,2,2,-,9x63,9x42,12x90,12x15,21x62,24x42,33x86,29x16,40x61,43x42,0,7,1,9,8,14,10,23,22,40,36,0,0,0,16,0,0,16,16,12,16,17,1,1,0,0,0,0,1,2,1,2,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,8,8,10,7,8,7,7,1,2,2,2,2,2,2,2,2,2,2,2,8,8,10,7,8,7,7,1,2,2,2,2,2,2,2,2,2,2,2,8,8,10,7,8,7,7,1,Qatar,QATAR,KATAR,QATAR,QATAR,卡塔爾,QATAR,卡塔尔,QATAR,QATAR,QATAR,QATAR,КАТАР,ΚΑΤΑΡ,QATAR,QATAR,CATAR,KATAR,QATAR,QATAR,1,3,2,1,0,0
沙特阿拉伯,SAU,7,16,75,WALEED ALI,1,HAWSAWI,3,AL-MOUSA,7,FALLATAH,12,ALZORI,23,KHARIRI,14,FERATI,15,AL SHLHOUB,10,AL JASSIM,17,SALEM,19,SHIMRANI,11,AL MOSAILEM,21,ALOTAIBI,22,MONTASHARI,4,SHUHAIL,13,ALRAHIB,2,AL-MUWALLAD,5,NOOR,8,ABED,20,AHMED OTAIF,6,ALSAHLAWI,18,HAZAZI,9,ALSALEM,16,,255,,255,,255,,255,,255,,255,,255,,255,,255,7,7,8,7,7,7,1,255,255,255,255,-,9x64,9x40,14x92,14x11,19x52,27x68,25x33,36x90,39x17,41x54,0,7,1,9,8,12,21,17,30,29,38,0,0,0,16,16,16,24,24,65,20,16,1,1,1,2,2,0,2,2,1,2,2,-,9x64,9x40,14x92,14x11,19x52,27x68,25x33,36x90,39x17,41x54,0,7,1,9,8,12,21,17,30,29,38,0,0,0,16,16,16,24,24,65,20,16,1,1,1,2,2,0,2,2,1,2,2,-,9x64,9x40,14x92,14x11,19x52,27x68,25x33,36x90,39x17,41x54,0,7,1,9,8,12,21,17,30,29,38,0,0,0,16,16,16,24,24,65,20,16,1,1,1,2,2,0,2,2,1,2,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,9,12,8,11,9,10,9,1,2,2,2,2,2,2,2,2,2,2,2,9,12,8,11,9,10,9,1,2,2,2,2,2,2,2,2,2,2,2,9,12,8,11,9,10,9,1,Saudi Arabia,ARABIE SAOUDITE,SAUDI-ARABIEN,ARABIA SAUDITA,ARABIA SAUDí,沙特阿拉伯,SAUDI ARABIA,沙特阿拉伯,SAUDI ARABIA,SAUDI ARABIA,ARáBIA SAUDITA,ARABIA SAUDITA,САУДОВСКАЯ АРАВИЯ,ΣΑΟΥΔΙΚΗ ΑΡΑΒΙΑ,SAUDIARABIEN,SAOEDI-ARABI?,ARáBIA SAUDITA,SUUD? ARAB?STAN,SAUDI ARABIA,SAUDI ARABIA,1,3,2,3,1,0
韩国,KOR,7,16,76,SUNGRYONG,1,TAEHWI,5,JUNGSOO,14,HYOJIN,2,JOOHO,6,SUNGYEUNG,16,JUNGWOO,4,BOKYUNG,7,JACHEOL,13,KEUNHO,9,LEE DONG GOOK,20,YOUNGKWANG,21,JINHYUN,23,YONGHYUNG,3,YOUNGGWON,22,BEOMSEOK,15,JUNGWOO,8,JAESUNG,17,HEUNGMIN,11,KIHUN,12,TAEHEE,19,DONGWON,10,SHINWOOK,18,,255,,255,,255,,255,,255,,255,,255,,255,,255,7,7,5,7,7,9,2,255,255,255,255,-,9x62,9x43,11x84,11x20,21x45,21x58,30x20,33x52,37x83,40x50,0,7,1,9,8,12,19,22,26,30,38,0,8,16,16,24,0,0,12,16,80,1,1,0,1,1,2,1,1,1,1,0,2,-,9x62,9x43,11x84,11x20,21x45,21x58,30x20,33x52,37x83,40x50,0,7,1,9,8,12,19,22,26,30,38,0,8,16,16,24,0,0,12,16,80,1,1,0,1,1,2,1,1,1,1,0,2,-,9x62,9x43,11x84,11x20,21x45,21x58,30x20,33x52,37x83,40x50,0,7,1,9,8,12,19,22,26,30,38,0,8,16,16,24,0,0,12,16,80,1,1,0,1,1,2,1,1,1,1,0,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,12,13,12,11,12,12,12,0,2,2,2,2,2,2,2,2,2,2,2,12,13,12,11,12,12,12,0,2,2,2,2,2,2,2,2,2,2,2,12,13,12,11,12,12,12,0,South Korea,CORéE DU SUD,SüDKOREA,COREA DEL SUD,COREA DEL SUR,南韓,SOUTH KOREA,韩国,SOUTH KOREA,SOUTH KOREA,COREIA DO SUL,COREA DEL SUR,РЕСПУБЛИКА КОРЕЯ,ΝΟΤΙΑ ΚΟΡΕΑ,SYDKOREA,ZUID-KOREA,COREIA DO SUL,GüNEY KORE,SOUTH KOREA,SOUTH KOREA,1,3,2,2,3,1
泰国,THA,9,16,77,KAWIN,23,SIRIWONG,2,JITSAWAD,15,SUREE SUKHA,19,KITPONGSRI,11,JAKKRAPHAN,20,MAKAROM,12,NUTNUM,8,SUKSOMKIT,22,CHOEICHIU,16,DANGDA,10,KOSIN,18,TEDSUNGNOEN,1,JANTAKAM,4,SURAT SUKHA,3,SUPACHAI,17,ADUL LHASO,5,THONGLAO,7,RANGSAN,6,SURIYA,9,SAREEPIM,13,KIRATI,14,CHAIKAMDEE,21,,255,,255,,255,,255,,255,,255,,255,,255,,255,8,6,8,6,8,7,1,255,255,255,255,-,8x65,8x40,11x88,13x15,20x42,23x64,31x85,29x22,28x52,42x55,0,7,1,9,8,12,21,23,22,26,38,0,1,1,16,16,0,48,32,12,40,33,1,1,1,1,1,0,1,1,1,1,2,-,8x65,8x40,11x88,13x15,20x42,23x64,31x85,29x22,28x52,42x55,0,7,1,9,8,12,21,23,22,26,38,0,1,1,16,16,0,48,32,12,40,33,1,1,1,1,1,0,1,1,1,1,2,-,8x65,8x40,11x88,13x15,20x42,23x64,31x85,29x22,28x52,42x55,0,7,1,9,8,12,21,23,22,26,38,0,1,1,16,16,0,48,32,12,40,33,1,1,1,1,1,0,1,1,1,1,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,12,11,12,15,7,7,6,0,2,2,2,2,2,2,2,2,2,2,2,12,11,12,15,7,7,6,0,2,2,2,2,2,2,2,2,2,2,2,12,11,12,15,7,7,6,0,Thailand,THA?LANDE,THAILAND,THAILANDIA,TAILANDIA,泰國,THAILAND,泰国,THAILAND,THAILAND,TAIL?NDIA,TAILANDIA,ТАИЛАНД,ΤΑΙΛΑΝΔΗ,THAILAND,THAILAND,TAIL?NDIA,TAYLAND,THAILAND,THAILAND,1,3,2,3,1,0
阿联酋,ARE,7,16,78,MAJED NASSER,12,JUMA,8,B. SAEED,14,AHMED,21,JABER,17,ABBAS,5,AL HOSANI,3,WEHAIBI,7,QASEM,23,I. MATAR,10,OBAID,11,KHASEIF,22,SULAIMAN,1,AL-KAMALI,15,MOUSA,18,SEBIL,2,GHARIB,19,FAWZI,20,WALID ABBAS,6,SUBAIT KHATER,4,A. MUBARAK,13,KHAMIS,9,AHMED KHALIL,16,,255,,255,,255,,255,,255,,255,,255,,255,,255,9,9,4,9,9,9,2,255,255,255,255,-,11x62,11x41,13x89,13x13,24x62,23x41,33x86,33x17,39x60,43x46,0,7,1,9,8,14,10,23,22,33,38,0,1,1,0,16,16,16,16,20,17,16,1,1,1,2,0,0,0,2,2,2,2,-,11x62,11x41,13x89,13x13,24x62,23x41,33x86,33x17,39x60,43x46,0,7,1,9,8,14,10,23,22,33,38,0,1,1,0,16,16,16,16,20,17,16,1,1,1,2,0,0,0,2,2,2,2,-,11x62,11x41,13x89,13x13,24x62,23x41,33x86,33x17,39x60,43x46,0,7,1,9,8,14,10,23,22,33,38,0,1,1,0,16,16,16,16,20,17,16,1,1,1,2,0,0,0,2,2,2,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,10,8,7,8,9,10,9,0,2,2,2,2,2,2,2,2,2,2,2,10,8,7,8,9,10,9,0,2,2,2,2,2,2,2,2,2,2,2,10,8,7,8,9,10,9,0,UAE,éMIRATS ARABES UNIS,VEREINTE ARAB. EMIRATE,EMIRATI ARABI UNITI,EMIRATOS áRABES UNIDOS,阿聯酋,UAE,阿联酋,UAE,UAE,EMIRADOS áRABES UNIDOS,EMIRATOS áRABES UNIDOS,ОАЭ,ΗΝΩΜΕΝΑ ΑΡΑΒΙΚΑ ΕΜΙΡΑΤΑ,F?RENADE ARABEMIRATEN,VAE,EMIRADOS áRABES UNIDOS,B?RL. ARAP EM?RL?KLER?,UAE,UAE,1,3,2,1,2,0
